2018-11-01 00:22:44 startup archives unpack
2018-11-01 00:22:44 upgrade libssl1.1:amd64 1.1.0g-2ubuntu4.1 1.1.0h-2.0+ubuntu18.04.1+deb.sury.org+1
2018-11-01 00:22:44 status triggers-pending libc-bin:amd64 2.27-3ubuntu1
2018-11-01 00:22:44 status half-configured libssl1.1:amd64 1.1.0g-2ubuntu4.1
2018-11-01 00:22:44 status unpacked libssl1.1:amd64 1.1.0g-2ubuntu4.1
2018-11-01 00:22:44 status half-installed libssl1.1:amd64 1.1.0g-2ubuntu4.1
2018-11-01 00:22:44 status half-installed libssl1.1:amd64 1.1.0g-2ubuntu4.1
2018-11-01 00:22:44 status unpacked libssl1.1:amd64 1.1.0h-2.0+ubuntu18.04.1+deb.sury.org+1
2018-11-01 00:22:44 status unpacked libssl1.1:amd64 1.1.0h-2.0+ubuntu18.04.1+deb.sury.org+1
2018-11-01 00:22:44 install libssl-dev:amd64 <none> 1.1.0h-2.0+ubuntu18.04.1+deb.sury.org+1
2018-11-01 00:22:44 status half-installed libssl-dev:amd64 1.1.0h-2.0+ubuntu18.04.1+deb.sury.org+1
2018-11-01 00:22:44 status unpacked libssl-dev:amd64 1.1.0h-2.0+ubuntu18.04.1+deb.sury.org+1
2018-11-01 00:22:44 status unpacked libssl-dev:amd64 1.1.0h-2.0+ubuntu18.04.1+deb.sury.org+1
2018-11-01 00:22:44 install libssl-doc:all <none> 1.1.0h-2.0+ubuntu18.04.1+deb.sury.org+1
2018-11-01 00:22:44 status half-installed libssl-doc:all 1.1.0h-2.0+ubuntu18.04.1+deb.sury.org+1
2018-11-01 00:22:44 status triggers-pending man-db:amd64 2.8.3-2
2018-11-01 00:22:45 status unpacked libssl-doc:all 1.1.0h-2.0+ubuntu18.04.1+deb.sury.org+1
2018-11-01 00:22:45 status unpacked libssl-doc:all 1.1.0h-2.0+ubuntu18.04.1+deb.sury.org+1
2018-11-01 00:22:45 startup packages configure
2018-11-01 00:22:45 trigproc libc-bin:amd64 2.27-3ubuntu1 <none>
2018-11-01 00:22:45 status half-configured libc-bin:amd64 2.27-3ubuntu1
2018-11-01 00:22:45 status installed libc-bin:amd64 2.27-3ubuntu1
